Well,Cell_cnt,Large_nuc_ratio,Nofoci_cell_cnt,Nofoci_cell_ratio,Green_cell_cnt,Red_cell_cnt,Mean_green_foci_cnt,Mean_red_foci_cnt,Green_1foci_ratio,Green_2foci_ratio,Green_3_foci_ratio,Green_4foci_ratio,Green_5+foci_ratio,Red_1foci_ratio,Red_2foci_ratio,Red_3_foci_ratio,Red_4foci_ratio,Red_5+foci_ratio,Green_far_foci_ratio,Red_far_foci_ratio,Total_far_foci_ratio,1R1G_nuc_ratio,1R1G_touch_nuc_ratio,Avg_Green_mean_dist,Avg_Green_std_dist,Max_Green_mean_dist,Max_Green_std_dist,Avg_Red_mean_dist,Avg_Red_std_dist,Max_Red_mean_dist,Max_Red_std_dist,Avg_All_mean_dist,Avg_All_std_dist,Max_All_mean_dist,Max_All_std_dist,Avg_RG_mean_dist,Avg_RG_std_dist,Min_RG_mean_dist,Min_RG_std_dist,Max_RG_mean_dist,Max_RG_std_dist,Avg_green_periphery_mean_dist,Avg_green_periphery_std_dist,Min_green_periphery_mean_dist,Min_green_periphery_std_dist,Avg_red_periphery_mean_dist,Avg_red_periphery_std_dist,Min_red_periphery_mean_dist,Min_red_periphery_std_dist,Avg_Green_mean_dist_norm,Avg_Green_std_dist_norm,Max_Green_mean_dist_norm,Max_Green_std_dist_norm,Avg_Red_mean_dist_norm,Avg_Red_std_dist_norm,Max_Red_mean_dist_norm,Max_Red_std_dist_norm,Avg_All_mean_dist_norm,Avg_All_std_dist_norm,Max_All_mean_dist_norm,Max_All_std_dist_norm,Avg_RG_mean_dist_norm,Avg_RG_std_dist_norm,Min_RG_mean_dist_norm,Min_RG_std_dist_norm,Max_RG_mean_dist_norm,Max_RG_std_dist_norm,Avg_green_periphery_mean_dist_norm,Avg_green_periphery_std_dist_norm,Min_green_periphery_mean_dist_norm,Min_green_periphery_std_dist_norm,Avg_red_periphery_mean_dist_norm,Avg_red_periphery_std_dist_norm,Min_red_periphery_mean_dist_norm,Min_red_periphery_std_dist_norm,
R1C1,741,0.051148,217,0.22651,612,671,1.1618,1.3249,0.84314,0.15359,0.001634,0.001634,0,0.71237,0.25335,0.032787,0,0.0014903,0.0081699,0.016393,0.015658,0.32463,0.33762,0.33515,0.82296,0.33709,0.82839,0.59235,0.98231,0.61625,1.0369,1.4279,1.0224,1.6622,1.2414,1.8219,0.82568,1.5521,0.86861,2.0892,0.98087,1.1011,0.66479,1.0423,0.6811,1.3056,0.56827,1.1742,0.61036,0.053977,0.13201,0.054258,0.1327,0.094436,0.1568,0.098252,0.16536,0.23278,0.1659,0.27016,0.19931,0.29664,0.1332,0.25352,0.14146,0.33927,0.15566,0.35711,0.20952,0.33823,0.21572,0.42359,0.1755,0.38176,0.19188
R1C2,836,0.087986,346,0.29272,636,721,1.1572,1.3273,0.8522,0.13836,0.009434,0,0,0.71012,0.26075,0.022191,0.0055479,0.001387,0.018868,0.026352,0.024535,0.26227,0.32581,0.33172,0.86035,0.3372,0.87324,0.61311,1.0311,0.63783,1.0934,1.3164,1.1122,1.5261,1.3539,1.8677,0.86551,1.5897,0.87293,2.1543,1.0703,1.0568,0.65507,0.99442,0.66293,1.3307,0.59943,1.2068,0.63322,0.05144,0.13174,0.052254,0.13363,0.09605,0.16062,0.099691,0.16913,0.21192,0.17594,0.24438,0.20999,0.29952,0.13132,0.25633,0.13699,0.34402,0.15881,0.34092,0.20404,0.32171,0.20857,0.42846,0.18166,0.39004,0.19716
R1C3,789,0.058878,298,0.27415,629,695,1.1669,1.2647,0.8442,0.14467,0.011129,0,0,0.76547,0.20863,0.021583,0.0043165,0,0.011129,0.023022,0.019319,0.31647,0.32849,0.32251,0.79872,0.33168,0.83151,0.4904,0.94806,0.51155,1.0109,1.4031,1.0808,1.6043,1.2975,1.8701,0.87208,1.6318,0.87867,2.1049,1.0395,1.0337,0.64373,0.96166,0.65191,1.2914,0.6141,1.1936,0.64276,0.050915,0.12427,0.052209,0.1281,0.076848,0.14736,0.079947,0.15612,0.22615,0.17145,0.25764,0.20277,0.30159,0.136,0.26449,0.14076,0.33832,0.15831,0.33363,0.20236,0.31109,0.20745,0.41491,0.18461,0.38442,0.1979
R1C4,751,0.047662,361,0.32464,588,638,1.1582,1.3276,0.85884,0.12585,0.013605,0.0017007,0,0.71003,0.25392,0.034483,0.0015674,0,0.0068027,0.026646,0.018885,0.2536,0.33333,0.29034,0.74257,0.30092,0.77793,0.60443,1.0211,0.63027,1.088,1.3246,1.0816,1.5251,1.2999,1.858,0.81972,1.5938,0.86509,2.1267,0.97801,0.9858,0.62487,0.92644,0.63308,1.3083,0.60184,1.1889,0.64666,0.047191,0.12108,0.048764,0.12568,0.096233,0.1619,0.10025,0.17199,0.21678,0.17509,0.24882,0.20774,0.30375,0.12868,0.26155,0.13944,0.34683,0.15045,0.32514,0.20386,0.30617,0.20793,0.42637,0.18072,0.38869,0.19923
R1C5,710,0.045245,373,0.34441,546,616,1.1667,1.2597,0.84249,0.14835,0.0091575,0,0,0.7711,0.19805,0.030844,0,0,0.007326,0.012987,0.010157,0.25392,0.29455,0.31236,0.77517,0.31634,0.78606,0.4682,0.90996,0.4845,0.94713,1.2769,1.0922,1.4651,1.2731,1.8224,0.83884,1.5715,0.90414,2.0751,0.96093,0.99185,0.65938,0.92421,0.67332,1.2794,0.57076,1.1841,0.59441,0.051264,0.12601,0.051933,0.12791,0.07486,0.14474,0.077358,0.15005,0.21021,0.17949,0.24059,0.20735,0.29989,0.13764,0.25933,0.14932,0.34066,0.15509,0.3248,0.21327,0.30265,0.21822,0.42018,0.18146,0.38974,0.19152
R1C6,589,0.062435,372,0.3871,452,502,1.1372,1.2729,0.87611,0.11283,0.0088496,0.0022124,0,0.76096,0.20717,0.02988,0.001992,0,0.019912,0.017928,0.01873,0.24662,0.2616,0.28045,0.78872,0.29019,0.82307,0.50371,0.96333,0.52898,1.0393,1.3109,1.1347,1.4924,1.3421,1.9389,0.84285,1.6939,0.90294,2.1811,1.0035,1.104,0.65374,1.0395,0.66375,1.3389,0.5675,1.2286,0.59992,0.043273,0.11989,0.044602,0.12398,0.078894,0.14818,0.082565,0.15743,0.20952,0.17759,0.23755,0.20629,0.30908,0.12758,0.27121,0.14059,0.34636,0.1471,0.35568,0.20592,0.33578,0.21134,0.42967,0.16869,0.39499,0.18198
R1C7,703,0.064151,357,0.33679,538,579,1.1357,1.2781,0.86989,0.12454,0.0055762,0,0,0.75475,0.21416,0.029361,0.0017271,0,0.013011,0.029361,0.020755,0.23679,0.38645,0.27831,0.76892,0.28211,0.78118,0.52163,0.98856,0.5487,1.0575,1.1848,1.1034,1.3754,1.3425,1.7924,0.86361,1.5219,0.85311,2.0605,1.0708,1.0243,0.6446,0.97216,0.66256,1.2578,0.56469,1.152,0.6021,0.046783,0.13066,0.047367,0.13234,0.081431,0.15331,0.085374,0.16236,0.19195,0.17697,0.22189,0.21195,0.29014,0.13612,0.24743,0.13678,0.33247,0.16644,0.33454,0.20595,0.31689,0.21061,0.41082,0.1766,0.37767,0.19146
R1C8,605,0.055502,440,0.42105,503,477,1.1292,1.2642,0.87674,0.1173,0.0059642,0,0,0.7652,0.20964,0.020964,0.0041929,0,0.013917,0.014675,0.013397,0.23541,0.35366,0.26015,0.75098,0.26491,0.76636,0.47537,0.90756,0.49054,0.94383,1.1793,1.0431,1.331,1.2227,1.7412,0.77817,1.5297,0.80018,1.9504,0.9372,1.0743,0.64637,1.0174,0.65896,1.3159,0.5859,1.2257,0.611,0.041335,0.11882,0.042087,0.12127,0.07602,0.14418,0.078346,0.14946,0.19189,0.16768,0.2161,0.19536,0.28288,0.12236,0.24903,0.12799,0.31639,0.14652,0.3482,0.20184,0.33022,0.20723,0.42785,0.181,0.39904,0.19069
R1C9,700,0.044698,441,0.3865,561,574,1.1444,1.2997,0.86453,0.12656,0.0089127,0,0,0.74216,0.22125,0.031359,0.0052265,0,0.010695,0.017422,0.014023,0.23663,0.36667,0.29754,0.82072,0.30428,0.84212,0.51464,0.92189,0.54646,1.0054,1.1884,1.034,1.377,1.267,1.713,0.78802,1.4792,0.78453,1.9524,0.98419,1.0287,0.65451,0.96945,0.66363,1.2348,0.57017,1.1174,0.59613,0.047877,0.12908,0.048961,0.1326,0.081739,0.14527,0.086531,0.15703,0.19574,0.16773,0.22579,0.20219,0.28259,0.1258,0.24532,0.12922,0.32083,0.15336,0.33903,0.20851,0.32001,0.21334,0.40942,0.17916,0.3722,0.19175
R1C10,642,0.047187,460,0.41742,510,526,1.1235,1.2567,0.88235,0.11176,0.0058824,0,0,0.76806,0.21103,0.01711,0.0038023,0,0.0098039,0.019011,0.013612,0.2323,0.35547,0.24023,0.70362,0.24358,0.71464,0.4789,0.93207,0.48833,0.95158,1.2054,1.0868,1.3669,1.2801,1.7854,0.85007,1.5551,0.83097,2.0048,1.0216,1.0458,0.65538,0.99098,0.67146,1.3148,0.56048,1.2248,0.58226,0.038714,0.1124,0.039252,0.11418,0.075678,0.14545,0.077167,0.14855,0.19824,0.17782,0.22386,0.20542,0.29319,0.13375,0.25671,0.1362,0.32809,0.15648,0.3457,0.21014,0.32818,0.21642,0.43227,0.17489,0.40408,0.18494
