384 Plate,384 Position,384 Position,Type,96 Plate Type,96 Plate,96 Position,Amplicon,Gene,Size
EJ_Assay1,A01,R1C1,EMPTY,Q1,EJ_1Q1,A01,,,
EJ_Assay1,A02,R1C2,EMPTY,Q2,EJ_1Q2,A01,,,
EJ_Assay1,A03,R1C3,EMPTY,Q1,EJ_1Q1,A02,,,
EJ_Assay1,A04,R1C4,EMPTY,Q2,EJ_1Q2,A02,,,
EJ_Assay1,A05,R1C5,EMPTY,Q1,EJ_1Q1,A03,,,
EJ_Assay1,A06,R1C6,EMPTY,Q2,EJ_1Q2,A03,,,
EJ_Assay1,A07,R1C7,EMPTY,Q1,EJ_1Q1,A04,,,
EJ_Assay1,A08,R1C8,EMPTY,Q2,EJ_1Q2,A04,,,
EJ_Assay1,A09,R1C9,EMPTY,Q1,EJ_1Q1,A05,,,
EJ_Assay1,A10,R1C10,EMPTY,Q2,EJ_1Q2,A05,,,
EJ_Assay1,A11,R1C11,EMPTY,Q1,EJ_1Q1,A06,,,
EJ_Assay1,A12,R1C12,EMPTY,Q2,EJ_1Q2,A06,,,
EJ_Assay1,A13,R1C13,EMPTY,Q1,EJ_1Q1,A07,,,
EJ_Assay1,A14,R1C14,EMPTY,Q2,EJ_1Q2,A07,,,
EJ_Assay1,A15,R1C15,EMPTY,Q1,EJ_1Q1,A08,,,
EJ_Assay1,A16,R1C16,EMPTY,Q2,EJ_1Q2,A08,,,
EJ_Assay1,A17,R1C17,EMPTY,Q1,EJ_1Q1,A09,,,
EJ_Assay1,A18,R1C18,EMPTY,Q2,EJ_1Q2,A09,,,
EJ_Assay1,A19,R1C19,EMPTY,Q1,EJ_1Q1,A10,,,
EJ_Assay1,A20,R1C20,EMPTY,Q2,EJ_1Q2,A10,,,
EJ_Assay1,A21,R1C21,EMPTY,Q1,EJ_1Q1,A11,,,
EJ_Assay1,A22,R1C22,EMPTY,Q2,EJ_1Q2,A11,,,
EJ_Assay1,A23,R1C23,EMPTY,Q1,EJ_1Q1,A12,,,
EJ_Assay1,A24,R1C24,EMPTY,Q2,EJ_1Q2,A12,,,
EJ_Assay1,B01,R2C1,EMPTY,Q3,EJ_1Q3,A01,,,
EJ_Assay1,B02,R2C2,EMPTY,Q4,EJ_1Q4,A01,,,
EJ_Assay1,B03,R2C3,EMPTY,Q3,EJ_1Q3,A02,,,
EJ_Assay1,B04,R2C4,EMPTY,Q4,EJ_1Q4,A02,,,
EJ_Assay1,B05,R2C5,EMPTY,Q3,EJ_1Q3,A03,,,
EJ_Assay1,B06,R2C6,EMPTY,Q4,EJ_1Q4,A03,,,
EJ_Assay1,B07,R2C7,EMPTY,Q3,EJ_1Q3,A04,,,
EJ_Assay1,B08,R2C8,EMPTY,Q4,EJ_1Q4,A04,,,
EJ_Assay1,B09,R2C9,EMPTY,Q3,EJ_1Q3,A05,,,
EJ_Assay1,B10,R2C10,EMPTY,Q4,EJ_1Q4,A05,,,
EJ_Assay1,B11,R2C11,EMPTY,Q3,EJ_1Q3,A06,,,
EJ_Assay1,B12,R2C12,EMPTY,Q4,EJ_1Q4,A06,,,
