Plate,Well,Cell_cnt,Large_nuc_ratio,Nofoci_cell_cnt,Nofoci_cell_ratio,Green_cell_cnt,Red_cell_cnt,Mean_green_foci_cnt,Mean_red_foci_cnt,Green_1foci_ratio,Green_2foci_ratio,Green_3_foci_ratio,Green_4foci_ratio,Green_5+foci_ratio,Red_1foci_ratio,Red_2foci_ratio,Red_3_foci_ratio,Red_4foci_ratio,Red_5+foci_ratio,Green_far_foci_ratio,Red_far_foci_ratio,Total_far_foci_ratio,1R1G_nuc_ratio,1R1G_touch_nuc_ratio,Avg_Green_mean_dist,Avg_Green_std_dist,Max_Green_mean_dist,Max_Green_std_dist,Avg_Red_mean_dist,Avg_Red_std_dist,Max_Red_mean_dist,Max_Red_std_dist,Avg_All_mean_dist,Avg_All_std_dist,Max_All_mean_dist,Max_All_std_dist,Avg_RG_mean_dist,Avg_RG_std_dist,Min_RG_mean_dist,Min_RG_std_dist,Max_RG_mean_dist,Max_RG_std_dist,Avg_green_periphery_mean_dist,Avg_green_periphery_std_dist,Min_green_periphery_mean_dist,Min_green_periphery_std_dist,Avg_red_periphery_mean_dist,Avg_red_periphery_std_dist,Min_red_periphery_mean_dist,Min_red_periphery_std_dist,Avg_Green_mean_dist_norm,Avg_Green_std_dist_norm,Max_Green_mean_dist_norm,Max_Green_std_dist_norm,Avg_Red_mean_dist_norm,Avg_Red_std_dist_norm,Max_Red_mean_dist_norm,Max_Red_std_dist_norm,Avg_All_mean_dist_norm,Avg_All_std_dist_norm,Max_All_mean_dist_norm,Max_All_std_dist_norm,Avg_RG_mean_dist_norm,Avg_RG_std_dist_norm,Min_RG_mean_dist_norm,Min_RG_std_dist_norm,Max_RG_mean_dist_norm,Max_RG_std_dist_norm,Avg_green_periphery_mean_dist_norm,Avg_green_periphery_std_dist_norm,Min_green_periphery_mean_dist_norm,Min_green_periphery_std_dist_norm,Avg_red_periphery_mean_dist_norm,Avg_red_periphery_std_dist_norm,Min_red_periphery_mean_dist_norm,Min_red_periphery_std_dist_norm
P1C6,R7C8,568,0.088962,39,0.06425,496,533,1.3306,1.4765,0.71774,0.24194,0.032258,0.0080645,0,0.62101,0.30206,0.060038,0.013133,0.0037523,0.034274,0.058161,0.075783,0.33443,0.24138,0.6364,1.1033,0.67151,1.1898,0.85252,1.1949,0.9173,1.3067,1.9611,1.0986,2.405,1.4194,2.232,0.94344,1.8013,1.0173,2.6664,1.1564,1.0368,0.61327,0.91365,0.63164,1.4263,0.52424,1.2658,0.62537,0.10067,0.17355,0.10585,0.18494,0.13777,0.19125,0.14758,0.20627,0.31913,0.17722,0.3898,0.22403,0.36258,0.15137,0.29409,0.16686,0.43161,0.1792,0.33567,0.19385,0.29743,0.20313,0.46344,0.16138,0.41149,0.19764
P1C6,R7C9,501,0.053908,241,0.3248,416,419,1.1899,1.3198,0.82452,0.16106,0.014423,0,0,0.7136,0.25537,0.02864,0.0023866,0,0.012019,0.02148,0.018868,0.26146,0.30412,0.36639,0.83597,0.37293,0.8556,0.61472,1.0378,0.62985,1.0655,1.4289,1.1201,1.6449,1.3324,1.9588,0.88855,1.6796,0.90961,2.2282,1.0606,1.1026,0.61768,1.0184,0.63891,1.2926,0.57605,1.1797,0.60437,0.058336,0.13323,0.059257,0.13562,0.097078,0.16337,0.099387,0.1674,0.22962,0.17854,0.26362,0.21013,0.31444,0.13859,0.27076,0.14493,0.35669,0.16278,0.35558,0.19491,0.32905,0.20328,0.41487,0.17725,0.37934,0.18828
P1C6,R7C10,319,0.078886,112,0.25986,278,290,1.1763,1.3207,0.83453,0.15468,0.010791,0,0,0.74138,0.19655,0.062069,0,0,0.014388,0.037931,0.027842,0.35731,0.3961,0.35083,0.83511,0.36274,0.87986,0.58133,1.0716,0.63495,1.2004,1.454,1.0084,1.7093,1.2925,1.7257,0.86137,1.4515,0.85073,2.0017,1.1033,1.2704,0.66978,1.1942,0.69757,1.4674,0.52879,1.3455,0.60413,0.054144,0.12549,0.055726,0.13052,0.089659,0.16114,0.097193,0.17702,0.23393,0.15604,0.273,0.19173,0.27721,0.12631,0.23493,0.13437,0.31968,0.15535,0.41278,0.21473,0.38931,0.22541,0.47497,0.16432,0.43741,0.19278
P1C6,R7C11,605,0.14868,155,0.20395,515,534,1.1748,1.5131,0.84272,0.13981,0.017476,0,0,0.5824,0.33333,0.073034,0.011236,0,0.021359,0.08427,0.068421,0.28158,0.26636,0.35031,0.88072,0.36426,0.92211,0.97093,1.2648,1.044,1.3897,1.7204,1.1379,2.0828,1.4609,2.1405,0.90214,1.7427,0.98216,2.5366,1.1146,1.1873,0.68076,1.1189,0.70064,1.3295,0.57317,1.146,0.63769,0.052638,0.13144,0.054632,0.13726,0.14589,0.18874,0.15649,0.20594,0.26292,0.17083,0.3168,0.21533,0.32621,0.13201,0.26702,0.14792,0.38506,0.1589,0.36408,0.20574,0.34356,0.21321,0.41043,0.17787,0.35534,0.20014
P1C6,R7C12,774,0.038925,305,0.28267,652,644,1.1365,1.2873,0.87117,0.12117,0.0076687,0,0,0.74689,0.22205,0.02795,0.0031056,0,0.013804,0.012422,0.014829,0.30213,0.29755,0.28628,0.80358,0.29186,0.82132,0.48895,0.91068,0.50838,0.95302,1.3153,1.0388,1.5078,1.231,1.7788,0.80516,1.5393,0.84268,2.0168,0.95225,0.98054,0.62443,0.929,0.63424,1.278,0.57764,1.1742,0.61294,0.046039,0.1281,0.046962,0.1311,0.079594,0.147,0.082706,0.15377,0.21857,0.16993,0.2502,0.20131,0.29598,0.12969,0.25656,0.13703,0.3351,0.15344,0.32782,0.20602,0.3108,0.21043,0.42298,0.17956,0.3892,0.19368
P1C6,R7C13,493,0.15499,249,0.33558,405,409,1.2691,1.5355,0.78519,0.17037,0.034568,0.0098765,0,0.6088,0.29095,0.070905,0.017115,0.012225,0.064198,0.11002,0.083558,0.19272,0.27273,0.56776,1.2207,0.62598,1.403,1.0512,1.5059,1.1765,1.7748,1.6326,1.377,2.0753,1.9464,2.22,1.1195,1.6517,1.0583,2.7975,1.6565,1.1419,0.70066,1.0431,0.72897,1.338,0.59716,1.1738,0.65146,0.080465,0.16776,0.087849,0.18825,0.15162,0.20917,0.16738,0.23653,0.24393,0.19519,0.30595,0.26243,0.33003,0.14751,0.25015,0.15378,0.41123,0.20672,0.34869,0.21453,0.32052,0.22549,0.41192,0.18382,0.36489,0.2045
P1C6,R7C14,885,0.030586,292,0.24809,682,751,1.173,1.3462,0.83871,0.14956,0.01173,0,0,0.70839,0.24101,0.047936,0.0013316,0.0013316,0.024927,0.051931,0.041631,0.27018,0.29245,0.36391,0.89873,0.37065,0.91818,0.67325,1.1724,0.71291,1.263,1.3709,1.1513,1.6137,1.4462,1.8967,0.89055,1.5707,0.8942,2.2345,1.1782,0.91468,0.58301,0.84851,0.59449,1.1643,0.52509,1.0567,0.5616,0.063046,0.15629,0.064277,0.1601,0.11825,0.20454,0.12522,0.22032,0.24269,0.20245,0.28472,0.25075,0.33364,0.15172,0.27714,0.1563,0.3923,0.19923,0.32327,0.20389,0.29995,0.20756,0.41181,0.18259,0.37457,0.1976
P1C6,R7C15,850,0.027113,404,0.32217,665,703,1.1489,1.3001,0.86165,0.12782,0.010526,0,0,0.74111,0.22191,0.032717,0.0042674,0,0.0090226,0.015647,0.013557,0.25997,0.28834,0.28877,0.75763,0.2981,0.7899,0.50264,0.89861,0.52813,0.95995,1.2625,1.0628,1.4466,1.2671,1.8334,0.82894,1.6072,0.86187,2.0656,0.98012,1.0628,0.64888,0.99749,0.66232,1.2178,0.56658,1.113,0.59737,0.04714,0.12378,0.048664,0.12916,0.081882,0.14647,0.086074,0.15678,0.20924,0.17454,0.23921,0.20688,0.30296,0.13251,0.26612,0.13981,0.34079,0.15601,0.35244,0.21053,0.33127,0.21666,0.40333,0.17849,0.36941,0.19124
P1C6,R7C16,1296,0.022011,385,0.22903,1097,1104,1.1376,1.2998,0.86964,0.12397,0.0054695,0.00091158,0,0.73913,0.22645,0.031703,0.0018116,0.0009058,0.012762,0.012681,0.016657,0.33314,0.33036,0.27834,0.77918,0.28451,0.79957,0.49612,0.89335,0.52095,0.9574,1.2613,0.97628,1.4587,1.189,1.6806,0.73513,1.4357,0.76881,1.9289,0.91819,0.89268,0.60598,0.83772,0.61552,1.1399,0.54011,1.0395,0.56431,0.048875,0.13517,0.049993,0.13914,0.08684,0.15675,0.090939,0.16646,0.2288,0.17693,0.26321,0.21048,0.3041,0.13228,0.26127,0.14091,0.34731,0.15921,0.32136,0.21097,0.30207,0.21564,0.40986,0.18001,0.37515,0.19234
P1C6,R7C17,586,0.060803,335,0.36374,486,476,1.1626,1.2773,0.85597,0.12963,0.012346,0,0.0020576,0.76471,0.20588,0.016807,0.012605,0,0.014403,0.021008,0.016287,0.26276,0.30165,0.30839,0.80796,0.32042,0.85358,0.4744,0.90146,0.50716,1.011,1.2929,1.0755,1.4746,1.2929,1.8476,0.81802,1.6007,0.86109,2.0935,0.98658,1.1064,0.65861,1.0445,0.66956,1.3194,0.61688,1.2157,0.64502,0.048002,0.12385,0.049687,0.1295,0.073384,0.13829,0.077684,0.14975,0.20821,0.17036,0.23597,0.1989,0.29765,0.1266,0.25944,0.1378,0.33551,0.14632,0.35739,0.20633,0.33803,0.21186,0.42419,0.18459,0.39252,0.19786
P1C6,R7C18,619,0.062699,322,0.34219,506,504,1.1719,1.2996,0.84387,0.14229,0.011858,0.0019763,0,0.73611,0.23413,0.02381,0.0059524,0,0.013834,0.017857,0.01594,0.2423,0.27193,0.33809,0.84008,0.34532,0.8597,0.563,1.026,0.58547,1.0897,1.3562,1.152,1.588,1.4203,1.9868,0.91467,1.6849,0.93032,2.2954,1.1416,1.0669,0.67739,0.99513,0.69037,1.2448,0.56174,1.1398,0.58056,0.054048,0.13364,0.055035,0.13587,0.08956,0.15998,0.093017,0.16903,0.22058,0.1839,0.25721,0.22279,0.32302,0.14161,0.27487,0.14914,0.37198,0.17121,0.35004,0.21992,0.32675,0.22516,0.40897,0.17999,0.37474,0.18682
P1C6,R7C19,449,0.064935,321,0.41688,359,368,1.1783,1.3832,0.83844,0.14485,0.016713,0,0,0.67663,0.2663,0.054348,0.0027174,0,0.011142,0.027174,0.016883,0.18442,0.25352,0.33176,0.79225,0.34635,0.83609,0.67068,1.0713,0.70306,1.1295,1.3016,1.1403,1.546,1.3869,1.9289,0.88115,1.6001,0.95016,2.2686,1.0546,1.116,0.6724,1.0447,0.68809,1.2713,0.55003,1.1411,0.57473,0.051765,0.12345,0.054312,0.13192,0.10751,0.1706,0.11263,0.17937,0.21289,0.18825,0.25205,0.22593,0.31599,0.14837,0.26345,0.16169,0.37025,0.17186,0.3659,0.22516,0.34363,0.2306,0.41616,0.18245,0.37513,0.19257
